phase,coefficient,standard_error,hazard_ratio,ci_lower,ci_upper,p_value
Début — rangs 1 à 6,-0.9950580820124499,0.40147525638454157,0.3697019708859726,0.16830969322465714,0.8120717509391144,0.013193458279766812
Milieu — rangs 7 à 12,-0.32223348226472126,0.31613937494707856,0.724529005906735,0.38989934724267333,1.3463533194208648,0.30807164724658453
Fin — rang 13 et plus,0.15919126481149237,0.353824434679186,1.1725621951218292,0.5860766902936342,2.345942304479084,0.6527710296957094
