Variable,Modalité,N,Axe 1,Axe 2,Variance axe 1,Variance axe 2
Sexe,Femme,171,0.2642981719965338,-1.9706003773898135,0.5451231688582578,0.1671450777585888
Sexe,Homme,169,-0.2542878720648314,1.3913953994934363,0.5451231688582578,0.1671450777585888
Profil physique,Profil non physique,272,-0.6702755784308855,-0.7923122480209398,0.5451231688582578,0.1671450777585888
Profil physique,Profil physique,68,2.394979804506464,1.8461185315955662,0.5451231688582578,0.1671450777585888
Âge,18–25 ans,80,-2.9815929338822174,-1.1151420378666086,0.5451231688582578,0.1671450777585888
Âge,26–33 ans,102,2.8769202664892126,-0.3537532377947947,0.5451231688582578,0.1671450777585888
Âge,34–41 ans,92,2.250517781465892,-0.4120981737203477,0.5451231688582578,0.1671450777585888
Âge,42 ans et plus,66,-3.880559640080166,1.4063921437035034,0.5451231688582578,0.1671450777585888
