model,term,coefficient,odds_ratio,ci_lower,ci_upper,p_value
"Victoire — ajusté sexe et âge, exploratoire",Intercept,-2.442128386366999,0.08697553677457745,0.035717304818673176,0.21179492785443843,7.526665906514618e-08
"Victoire — ajusté sexe et âge, exploratoire",C(sex_group)[T.Homme],-0.4836582371146528,0.6165238708878207,0.21932224870331266,1.7330739841569076,0.3590499437571719
"Victoire — ajusté sexe et âge, exploratoire","C(age_group, Treatment(reference='26–33 ans'))[T.18–25 ans]",-1.2557317086064754,0.2848673320686456,0.058236121861151534,1.39345468562256,0.12106043870251898
"Victoire — ajusté sexe et âge, exploratoire","C(age_group, Treatment(reference='26–33 ans'))[T.34–41 ans]",-0.15407121400148666,0.8572109734142263,0.29898219149636596,2.457707093737377,0.7743471956144001
"Victoire — ajusté sexe et âge, exploratoire","C(age_group, Treatment(reference='26–33 ans'))[T.42 ans et plus]",-0.8830889285546824,0.41350365368713543,0.08576591732405874,1.9936272699860262,0.2712010281168997
"Victoire — ajusté sexe et âge, exploratoire",physical_score,0.9467659274082,2.5773607942709944,0.890698484236708,7.457954382327045,0.08073321585689815
