variable,option,cause,group_probability,overall_probability,lift_vs_overall,difference_points
Âge,34–41 ans,VOTE_CONSEIL,0.6413043478260869,0.6029411764705882,1.063626723223754,0.038363171355498715
Âge,34–41 ans,MEDICAL,0.043478260869565216,0.06764705882352941,0.6427221172022685,-0.02416879795396419
Âge,34–41 ans,FINALE_ORIENTATION,0.043478260869565216,0.061764705882352944,0.7039337474120082,-0.018286445012787728
Âge,34–41 ans,FINALE_POTEAUX,0.07608695652173914,0.047058823529411764,1.6168478260869565,0.02902813299232737
Âge,34–41 ans,ELIMINATION_CHALLENGE,0.05434782608695652,0.047058823529411764,1.1548913043478262,0.007289002557544756
Âge,34–41 ans,JURY_FINAL_DECISION,0.010869565217391304,0.04411764705882353,0.24637681159420288,-0.03324808184143223
Âge,34–41 ans,VOLUNTARY,0.043478260869565216,0.03823529411764706,1.137123745819398,0.005242966751918154
Âge,34–41 ans,AMBASSADEURS,0.010869565217391304,0.03235294117647059,0.33596837944664026,-0.021483375959079287
Âge,34–41 ans,CENSORED_WINNER,0.07608695652173914,0.058823529411764705,1.2934782608695654,0.01726342710997443
Âge,42 ans et plus,VOTE_CONSEIL,0.5606060606060606,0.6029411764705882,0.9297856614929785,-0.04233511586452765
Âge,42 ans et plus,MEDICAL,0.10606060606060606,0.06764705882352941,1.567852437417655,0.038413547237076656
Âge,42 ans et plus,FINALE_ORIENTATION,0.10606060606060606,0.061764705882352944,1.7171717171717171,0.04429590017825312
Âge,42 ans et plus,FINALE_POTEAUX,0.045454545454545456,0.047058823529411764,0.9659090909090909,-0.0016042780748663082
Âge,42 ans et plus,ELIMINATION_CHALLENGE,0.030303030303030304,0.047058823529411764,0.6439393939393939,-0.01675579322638146
Âge,42 ans et plus,JURY_FINAL_DECISION,0.06060606060606061,0.04411764705882353,1.3737373737373737,0.016488413547237075
Âge,42 ans et plus,VOLUNTARY,0.015151515151515152,0.03823529411764706,0.39627039627039623,-0.02308377896613191
Âge,42 ans et plus,AMBASSADEURS,0.045454545454545456,0.03235294117647059,1.4049586776859504,0.013101604278074865
Âge,42 ans et plus,CENSORED_WINNER,0.030303030303030304,0.058823529411764705,0.5151515151515151,-0.0285204991087344
