variable,option,step,at_risk,eliminated,elimination_probability
Âge,34–41 ans,7,68,3,0.04411764705882353
Âge,34–41 ans,8,65,5,0.07692307692307693
Âge,34–41 ans,9,60,3,0.05
Âge,34–41 ans,10,57,6,0.10526315789473684
Âge,34–41 ans,11,51,8,0.1568627450980392
Âge,34–41 ans,12,43,4,0.09302325581395349
Âge,34–41 ans,13,39,5,0.1282051282051282
Âge,34–41 ans,14,34,6,0.17647058823529413
Âge,34–41 ans,15,28,5,0.17857142857142858
Âge,34–41 ans,16,23,4,0.17391304347826086
Âge,34–41 ans,17,19,3,0.15789473684210525
Âge,34–41 ans,18,16,6,0.375
Âge,34–41 ans,19,10,2,0.2
Âge,34–41 ans,20,8,1,0.125
Âge,42 ans et plus,1,66,4,0.06060606060606061
Âge,42 ans et plus,2,62,5,0.08064516129032258
Âge,42 ans et plus,3,57,6,0.10526315789473684
Âge,42 ans et plus,4,51,5,0.09803921568627451
Âge,42 ans et plus,5,46,1,0.021739130434782608
Âge,42 ans et plus,6,45,5,0.1111111111111111
Âge,42 ans et plus,7,40,7,0.175
Âge,42 ans et plus,8,33,5,0.15151515151515152
Âge,42 ans et plus,9,28,2,0.07142857142857142
Âge,42 ans et plus,10,26,1,0.038461538461538464
Âge,42 ans et plus,11,25,1,0.04
Âge,42 ans et plus,12,24,0,0.0
Âge,42 ans et plus,13,24,2,0.08333333333333333
Âge,42 ans et plus,14,22,3,0.13636363636363635
Âge,42 ans et plus,15,19,1,0.05263157894736842
Âge,42 ans et plus,16,18,2,0.1111111111111111
Âge,42 ans et plus,17,16,7,0.4375
Âge,42 ans et plus,18,9,1,0.1111111111111111
Âge,42 ans et plus,19,8,5,0.625
Âge,42 ans et plus,20,3,1,0.3333333333333333
