variable,coef,hazard_ratio,hr_ci_lower,hr_ci_upper,se(coef),z,p,significant_005,direction,phase_order
age_18_24_phase_0_25,0.33714902287042825,1.4009478214489848,0.7316092827399565,2.6826543138877357,0.33146409947761624,1.017150947574025,0.3090816268632438,False,RISQUE_PLUS_ELEVE,1
age_18_24_phase_25_50,0.7630824715526368,2.1448775651197236,1.1679393210943962,3.938988683969557,0.31012893318882157,2.46053299092876,0.013873081659336001,True,RISQUE_PLUS_ELEVE,2
age_18_24_phase_50_75,0.2076261338065884,1.2307529466041511,0.5141607854493898,2.9460683475712126,0.4453374607776623,0.46622202732288703,0.6410565839824509,False,RISQUE_PLUS_ELEVE,3
age_18_24_phase_75_100,0.7370418301879997,2.089744542814899,0.12234558837804482,35.69423558396425,1.4479589419546819,0.5090212221024895,0.6107373487575831,False,RISQUE_PLUS_ELEVE,4
