variable,option,candidates,winners,win_probability,top5_count,top5_probability,top10_count,top10_probability,mean_normalized_progress
Sexe,Femme,171,11,0.06432748538011696,38,0.2222222222222222,76,0.4444444444444444,0.4964912280701755
Sexe,Homme,169,9,0.05325443786982249,47,0.2781065088757396,94,0.5562130177514792,0.5547337278106509
Profil physique,Profil non physique,281,17,0.060498220640569395,64,0.2277580071174377,140,0.498220640569395,0.5165480427046264
Profil physique,Profil physique,59,3,0.05084745762711865,21,0.3559322033898305,30,0.5084745762711864,0.5677966101694916
Âge,18–25 ans,80,2,0.025,16,0.2,29,0.3625,0.4487500000000001
Âge,26–33 ans,102,9,0.08823529411764706,30,0.29411764705882354,70,0.6862745098039216,0.6230392156862745
Âge,34–41 ans,92,7,0.07608695652173914,22,0.2391304347826087,46,0.5,0.5320652173913043
Âge,42 ans et plus,66,2,0.030303030303030304,17,0.25757575757575757,25,0.3787878787878788,0.4583333333333333
