variable,option,cause,cause_label,group_candidates,group_events,group_probability,ci95_lower,ci95_upper,other_candidates,other_events,other_probability,overall_probability,difference_vs_overall,lift_vs_overall,risk_ratio_vs_others,odds_ratio,p_fisher,p_fdr_bh,significant_fdr_005,minimum_3_events,interpretation
Sexe,Femme,VOTE_CONSEIL,Conseil,171,114,0.6666666666666666,0.5930328923711388,0.7329764783964587,169,91,0.5384615384615384,0.6029411764705882,0.06372549019607843,1.1056910569105691,1.2380952380952381,1.7142857142857142,0.01980426446506986,0.5156719960437203,False,True,SIGNIFICATIF_BRUT_SEULEMENT
Sexe,Femme,MEDICAL,Blessure / médical,171,8,0.04678362573099415,0.023893560130576114,0.08958972988736011,169,15,0.08875739644970414,0.06764705882352941,-0.020863433092535258,0.6915840325451309,0.5270955165692007,0.5038854805725972,0.13584938561578408,0.6814013609439492,False,True,SOUS_REPRESENTATION_DESCRIPTIVE
Sexe,Femme,ELIMINATION_CHALLENGE,Épreuve éliminatoire,171,9,0.05263157894736842,0.027933280880335587,0.09698893442769177,169,7,0.04142011834319527,0.047058823529411764,0.005572755417956654,1.118421052631579,1.270676691729323,1.2857142857142858,0.7988942910990368,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Femme,AMBASSADEURS,Ambassadeurs,171,2,0.011695906432748537,0.00321325400608612,0.041636484271303245,169,9,0.05325443786982249,0.03235294117647059,-0.020657034743722054,0.36150983519404567,0.21962313190383365,0.210387902695595,0.034787911013872665,0.5156719960437203,False,False,TRES_PEU_D_EVENEMENTS
Sexe,Femme,VOLUNTARY,Abandon volontaire,171,6,0.03508771929824561,0.01617817654700624,0.07442726289074769,169,7,0.04142011834319527,0.03823529411764706,-0.0031475748194014497,0.9176788124156544,0.8471177944862154,0.8415584415584415,0.7854811882620709,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Femme,FINALE_ORIENTATION,Orientation,171,10,0.05847953216374269,0.03207135860450287,0.10428978199361565,169,11,0.0650887573964497,0.061764705882352944,-0.003285173718610257,0.9468114731272625,0.8984582668793195,0.8921513269339356,0.8256239033757395,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Femme,FINALE_POTEAUX,Poteaux,171,4,0.023391812865497075,0.00913320257216747,0.05859438628540417,169,12,0.07100591715976332,0.047058823529411764,-0.02366701066391469,0.49707602339181284,0.32943469785575047,0.313373253493014,0.04297266633697669,0.5156719960437203,False,True,SIGNIFICATIF_BRUT_SEULEMENT
Sexe,Femme,JURY_FINAL_DECISION,Défaite au jury final,171,7,0.04093567251461988,0.019968152921721997,0.08207621180612308,169,8,0.047337278106508875,0.04411764705882353,-0.0031819745442036515,0.9278752436647172,0.864766081871345,0.8589939024390244,0.7982735944666264,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Femme,CENSORED_WINNER,Victoire,171,11,0.06432748538011696,0.036295382664577644,0.11150468322363201,169,9,0.05325443786982249,0.058823529411764705,0.00550395596835225,1.0935672514619883,1.207927225471085,1.2222222222222223,0.8184549363746236,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Homme,VOTE_CONSEIL,Conseil,169,91,0.5384615384615384,0.46328048351824724,0.6119328910397296,171,114,0.6666666666666666,0.6029411764705882,-0.06447963800904977,0.8930581613508443,0.8076923076923077,0.5833333333333334,0.01980426446506986,0.5156719960437203,False,True,SIGNIFICATIF_BRUT_SEULEMENT
