variable,option,normalized_rank,at_risk,eliminated,conditional_elimination_probability,smoothed_probability
Âge,18–25 ans,4,66,4,0.06060606060606061,0.10174323884001302
Âge,18–25 ans,5,62,10,0.16129032258064516,0.09319623029300449
Âge,18–25 ans,6,52,3,0.057692307692307696,0.1206132577100319
Âge,18–25 ans,7,49,7,0.14285714285714285,0.09065934065934063
Âge,18–25 ans,8,42,3,0.07142857142857142,0.13125763125763124
Âge,18–25 ans,9,39,7,0.1794871794871795,0.13572191697191696
Âge,18–25 ans,10,32,5,0.15625,0.16129510921177584
Âge,18–25 ans,11,27,4,0.14814814814814814,0.14494431025228124
Âge,18–25 ans,12,23,3,0.13043478260869565,0.12619431025228126
Âge,18–25 ans,13,20,2,0.1,0.11384863123993556
Âge,18–25 ans,14,18,2,0.1111111111111111,0.09120370370370368
Âge,18–25 ans,15,16,1,0.0625,0.14675925925925926
Âge,18–25 ans,16,15,4,0.26666666666666666,0.17032828282828283
Âge,18–25 ans,17,11,2,0.18181818181818182,0.26060606060606056
Âge,18–25 ans,18,9,3,0.3333333333333333,0.393939393939394
Âge,18–25 ans,19,6,4,0.6666666666666666,0.3333333333333333
Âge,18–25 ans,20,2,0,0.0,0.33333333333333337
Âge,26–33 ans,1,102,4,0.0392156862745098,0.02981192476990796
Âge,26–33 ans,2,98,2,0.02040816326530612,0.0233468387354942
Âge,26–33 ans,3,96,1,0.010416666666666666,0.02080125910013128
Âge,26–33 ans,4,95,3,0.031578947368421054,0.024868103229087214
Âge,26–33 ans,5,92,3,0.03260869565217391,0.04012247276716461
Âge,26–33 ans,6,89,5,0.056179775280898875,0.02959615697769093
Âge,26–33 ans,7,84,0,0.0,0.03063135366506153
Âge,26–33 ans,8,84,3,0.03571428571428571,0.03659611992945326
Âge,26–33 ans,9,81,6,0.07407407407407407,0.06326278659611993
Âge,26–33 ans,10,75,6,0.08,0.08034353193773484
Âge,26–33 ans,11,69,6,0.08695652173913043,0.08739820565907523
Âge,26–33 ans,12,63,6,0.09523809523809523,0.11336311793977698
Âge,26–33 ans,13,57,9,0.15789473684210525,0.14687761069340016
Âge,26–33 ans,14,48,9,0.1875,0.17496063877642823
Âge,26–33 ans,15,39,7,0.1794871794871795,0.18482905982905984
Âge,26–33 ans,16,32,6,0.1875,0.21207264957264957
Âge,26–33 ans,17,26,7,0.2692307692307692,0.22241902834008095
Âge,26–33 ans,18,19,4,0.21052631578947367,0.2932523616734143
Âge,26–33 ans,19,15,6,0.4,0.20350877192982456
Âge,26–33 ans,20,7,0,0.0,0.2
Âge,34–41 ans,1,92,6,0.06521739130434782,0.055864509605662284
Âge,34–41 ans,2,86,4,0.046511627906976744,0.05756820965580737
Âge,34–41 ans,3,82,5,0.06097560975609756,0.05314509653704208
Âge,34–41 ans,4,77,4,0.05194805194805195,0.05133985070503614
Âge,34–41 ans,5,73,3,0.0410958904109589,0.045300361738717904
Âge,34–41 ans,6,70,3,0.04285714285714286,0.03793459317891949
Âge,34–41 ans,7,67,2,0.029850746268656716,0.06013339893936909
Âge,34–41 ans,8,65,7,0.1076923076923077,0.05734193752721802
Âge,34–41 ans,9,58,2,0.034482758620689655,0.0771535935329039
Âge,34–41 ans,10,56,5,0.08928571428571429,0.10007968704723269
Âge,34–41 ans,11,51,9,0.17647058823529413,0.14414098972922504
Âge,34–41 ans,12,42,7,0.16666666666666666,0.16199813258636786
Âge,34–41 ans,13,35,5,0.14285714285714285,0.1253968253968254
Âge,34–41 ans,14,30,2,0.06666666666666667,0.15317460317460319
Âge,34–41 ans,15,28,7,0.25,0.16904761904761903
Âge,34–41 ans,16,21,4,0.19047619047619047,0.20564892623716155
Âge,34–41 ans,17,17,3,0.17647058823529413,0.26517273576097106
Âge,34–41 ans,18,14,6,0.42857142857142855,0.24334733893557425
Âge,34–41 ans,19,8,1,0.125,0.18452380952380953
Âge,34–41 ans,20,7,0,0.0,0.06250000000000006
Âge,42 ans et plus,1,66,4,0.06060606060606061,0.07869012707722385
Âge,42 ans et plus,2,62,6,0.0967741935483871,0.08222198948005399
Âge,42 ans et plus,3,56,5,0.08928571428571429,0.1012356555525436
Âge,42 ans et plus,4,51,6,0.11764705882352941,0.07638499844382197
Âge,42 ans et plus,5,45,1,0.022222222222222223,0.0845018815607051
Âge,42 ans et plus,6,44,5,0.11363636363636363,0.11366226366226366
Âge,42 ans et plus,7,39,8,0.20512820512820512,0.1492656089430283
Âge,42 ans et plus,8,31,4,0.12903225806451613,0.13607817908893177
Âge,42 ans et plus,9,27,2,0.07407407407407407,0.0677021107128634
Âge,42 ans et plus,10,25,0,0.0,0.03802469135802469
Âge,42 ans et plus,11,25,1,0.04,0.02722222222222222
Âge,42 ans et plus,12,24,1,0.041666666666666664,0.041714975845410625
Âge,42 ans et plus,13,23,1,0.043478260869565216,0.0889877031181379
Âge,42 ans et plus,14,22,4,0.18181818181818182,0.09361733274776753
Âge,42 ans et plus,15,18,1,0.05555555555555555,0.13794810853634384
Âge,42 ans et plus,16,17,3,0.17647058823529413,0.19638966697790228
Âge,42 ans et plus,17,14,5,0.35714285714285715,0.32601929660753187
Âge,42 ans et plus,18,9,4,0.4444444444444444,0.46719576719576716
Âge,42 ans et plus,19,5,3,0.6,0.3481481481481481
Âge,42 ans et plus,20,2,0,0.0,0.29999999999999993
