season_name,candidate_name,interval_start_day,interval_end_day,presence_status,active_in_main_game,interval_reason,source_url,review_status
Koh-Lanta : Le Totem Maudit,Fouzi Ould Bouamama,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Nicolas Bellon,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Olga Khokhlova,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Ambre Daudet,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Jean-Charles Chatelus,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Géraldine Nicolle,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,Bastien San Pedro,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Le Totem Maudit,François Descamp,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,François,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Carole,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Samuel,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Diane,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Estelle,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Mathieu,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Adrien,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Aubin,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Sébastien,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Marie-France,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Hadja,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Bertrand-Kamal († décédé avant la finale),1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Joaquina,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Jody,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Laurent,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Alix [ n° 2 ],1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Fabrice,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Ava,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Angélique,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Dorian,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Lola,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Loïc [ n° 3 ],1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Brice,1,,STANDARD,True,Présence standard,,VALIDATED
Koh-Lanta : Les 4 Terres,Alexandra [ n° 4 ],1,,STANDARD,True,Présence standard,,VALIDATED
