cause,model,n_events,covariates,variable,hazard_ratio,hr_ci_lower,hr_ci_upper,p,concordance,status
MEDICAL,MEDICAL_M1,23,gender_male + physical_score,gender_male,1.5620144339400912,0.7606122691017935,3.207796128135623,0.2244859294285653,0.5801186943620178,SUCCESS
MEDICAL,MEDICAL_M1,23,gender_male + physical_score,physical_score,0.7163930747459263,0.2573797224461556,1.994015039981593,0.5230960968423612,0.5801186943620178,SUCCESS
MEDICAL,MEDICAL_M2,23,gender_male + age_18_25,gender_male,1.5489834903812318,0.7677678496331026,3.1250981069606056,0.22170930142920853,0.5875370919881305,SUCCESS
MEDICAL,MEDICAL_M2,23,gender_male + age_18_25,age_18_25,1.3896242859771626,0.618391334370973,3.1227081442559457,0.42574599064556484,0.5875370919881305,SUCCESS
MEDICAL,MEDICAL_M3,23,gender_male + age_34_41,gender_male,1.513068287434832,0.7471987035713485,3.0639448803893266,0.24996856274221757,0.5801186943620178,SUCCESS
MEDICAL,MEDICAL_M3,23,gender_male + age_34_41,age_34_41,0.694091227739309,0.3035677281313224,1.587002134219789,0.38681935903442544,0.5801186943620178,SUCCESS
MEDICAL,MEDICAL_M4,23,gender_male + age_42_plus,gender_male,1.442626183970116,0.7095350191822509,2.9331467093403747,0.3114486947051419,0.629080118694362,SUCCESS
MEDICAL,MEDICAL_M4,23,gender_male + age_42_plus,age_42_plus,1.8524871103799299,0.8442131805590164,4.064978577865123,0.12414433737848059,0.629080118694362,SUCCESS
MEDICAL,MEDICAL_M5,23,physical_score + age_18_25,physical_score,0.7469272316138919,0.2781221102118085,2.005954466912085,0.5626611840767242,0.5489614243323442,SUCCESS
MEDICAL,MEDICAL_M5,23,physical_score + age_18_25,age_18_25,1.367195981982054,0.6107041788428518,3.060769711269436,0.44687295112463254,0.5489614243323442,SUCCESS
MEDICAL,MEDICAL_M6,23,physical_score + age_34_41,physical_score,0.7568824768287054,0.2800399464767424,2.0456763077475206,0.5829465958182289,0.5563798219584569,SUCCESS
MEDICAL,MEDICAL_M6,23,physical_score + age_34_41,age_34_41,0.6836257569503444,0.294472664930994,1.5870545256737079,0.3760969645938148,0.5563798219584569,SUCCESS
