covariate,coef,exp(coef),se(coef),z,p,coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%
age,0.0042229032150918906,1.0042318322352455,0.00654236488974366,0.645470450862815,0.5186223612978926,-0.008599896342525044,0.017045702772708823,0.9914369769880435,1.0171918097490127
gender_male,-0.11474935111620484,0.8915895918381719,0.11599246842955192,-0.989282775595882,0.32252480892852975,-0.34209041171602583,0.11259170948361617,0.7102839838122181,1.1191748911577861
physical_score,-0.13672931174505906,0.8722062901794226,0.16434131592175366,-0.8319837952992828,0.40541809131348183,-0.45883237212361516,0.18537374863349707,0.632021180388676,1.2036682254235755
