covariate,coef,exp(coef),se(coef),z,p,coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%
gender_male,-0.13447850806225128,0.8741716663177164,0.11678269473425537,-1.1515277016707277,0.24951520555492895,-0.3633683837589272,0.09441136763442468,0.6953302379461016,1.0990117508048425
physical_score,-0.17780770238449264,0.8371033809964984,0.16584251802734257,-1.072147869554039,0.28365362079603784,-0.5028530648235188,0.14723766005453345,0.6048026546504108,1.1586292902117186
age_centered,-0.008826458266696787,0.991212380562302,0.007474257407318097,-1.1809144087083139,0.23763672676234132,-0.02347573359622198,0.005822817062828405,0.976797677748106,1.0058398026140176
age_centered_sq,0.0016918913338111986,1.0016933233894676,0.0005393625642735212,3.1368349341968935,0.0017078224720604293,0.0006347601332259271,0.00274902253439647,1.0006349616360724,1.0027528045616758
