covariate,coef,hazard_ratio,ci_lower,ci_upper,p
physical_score,-0.39446563682188657,0.6740401252554553,0.46752022563153467,0.971787027696337,0.03457652246035925
gender_male_new,-0.2587135842676095,0.7720441169610011,0.5786514809756212,1.030071015335747,0.07865004587495973
age_18_25,0.4930586328476888,1.6373165191049162,1.1115447641156564,2.4117835558936616,0.012591686620291984
age_34_41,0.27987393950156886,1.3229630284464557,0.9320455122579102,1.8778387445868672,0.11731176310624217
age_42_plus,0.3241673481557306,1.382878709958231,0.8943145023822378,2.138345650620328,0.1449259472633588
