analysis,odds_ratio,ci_lower,ci_upper,p_value,used_strata,used_candidates,status
Victoire,2.90181291514758,1.1925868336537184,7.060717053800958,0.01607774914484017,13,132,Ajusté sur sexe et saison
Phase finale atteinte,2.0077801233315067,1.1519437624939168,3.4994599171384184,0.014457599695183454,25,257,Ajusté sur sexe et saison
Élimination à l’orientation,0.21766561514195584,0.049678969582370086,0.9536896681516417,0.049010309839698896,7,19,Ajusté sur sexe et saison
Élimination aux poteaux,1.7407407407407403,0.39722392193478817,7.628388319906074,0.485262776738541,6,14,Ajusté sur sexe et saison
Défaite au jury final,9.0,0.09738156483702538,831.7796097809576,0.3864762307712325,1,2,Ajusté sur sexe et saison
