analysis,season_id,sex_group,reason
Défaite au jury final,KL17,Homme,Pas de variation du profil physique
Défaite au jury final,KL18,Femme,Pas de variation du profil physique
Défaite au jury final,KL18,Homme,Pas de variation du profil physique
Défaite au jury final,KL22,Femme,Pas de variation du profil physique
Défaite au jury final,KL25,Femme,Pas de variation du profil physique
Défaite au jury final,KL25,Homme,Pas de variation du résultat
Défaite au jury final,KL26,Femme,Pas de variation du profil physique
Défaite au jury final,KL26,Homme,Pas de variation du profil physique
Défaite au jury final,KL27,Femme,Pas de variation du profil physique
Défaite au jury final,KL27,Homme,Pas de variation du profil physique
Défaite au jury final,KL29,Femme,Pas de variation du profil physique
Défaite au jury final,KL29,Homme,Pas de variation du profil physique
Défaite au jury final,KL31,Femme,Pas de variation du profil physique
Défaite au jury final,KL31,Homme,Pas de variation du profil physique
Défaite au jury final,KL32,Femme,Pas de variation du profil physique
Défaite au jury final,KL32,Homme,Pas de variation du profil physique
Défaite au jury final,KL33,Femme,Pas de variation du profil physique
