season_name,candidate_name,profession_normalized,profile_documentation_sufficient,physical_score,physical_positive_reason,physical_zero_reason,physical_score_justification,external_research_required,audit_status,audit_warning
Koh-Lanta : Johor,Nessim Kouachi,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Johor,Jeff Santiago,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Johor,Christophe Pendon,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Johor,Jessica Potel,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Johor,Sébastien Ballesteros,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Johor,Bruno Peisey,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Johor,Mélissa Bastin,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Johor,Chantel Ménard,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Johor,Marc Rambaud,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Myriam Zenasni,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Amandine Schmitt,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Sophie Le Nestic Sabattier,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Sandrine Bouzekri,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Laurent Mischkind,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Jean-Luc Duboscq,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Jérôme Merlier,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,"Laurent ""Lau"" Émilien",nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Béryl Libault de la Chevasnerie,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Alexandra Pharisien,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Yannick Delalleau,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Julie Navarro-Camilleri,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Jérémy Raffin,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Stéphane Cipolla,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Ludivine Wiart,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Candice Boisson,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Bruno Troester,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Freddy Bolzer,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Jesta Hillmann,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : L'Île au trésor,Benoît Assadi,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Aliséa,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Carinne,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Émilie,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Victor,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Chloé,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Xavier,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Frédéric,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Alexandre,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Béatrice,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Brice,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Sophie,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Angélique,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Mohamed,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Nicolas,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
