season_id,season_name,season_year,candidate_count,source_file,identity_match,audit_status,warnings
KL01,Les Aventuriers de Koh-Lanta,2001,16,config/seasons.json + koh_lanta_global_local_enrichment_v1.csv,PASS,OK,
KL18,Koh-Lanta : Thaïlande,2016,21,config/seasons.json + koh_lanta_global_local_enrichment_v1.csv,PASS,OK,
