variable,coef,hazard_ratio,hr_ci_lower,hr_ci_upper,se(coef),z,p,significant_005,direction
gender_male,-0.34734373913281436,0.7065624133592157,0.5365752981876262,0.9304014658487529,0.1404131091328661,-2.473727284281839,0.013371172231942808,True,RISQUE_PLUS_FAIBLE
physical_score,-0.2519660556143314,0.7772711216118781,0.5157182300319414,1.1714738035426215,0.20930418931158398,-1.2038271018036726,0.22865641226169414,False,RISQUE_PLUS_FAIBLE
age_18_25,0.5219882917075128,1.6853753383144776,1.1445190052913703,2.481819889286601,0.19745455974108153,2.6435869214263086,0.008203270011844814,True,RISQUE_PLUS_ELEVE
age_34_41,0.2945164904027556,1.3424771011753076,0.9477816006601602,1.9015401500986475,0.17762962761959364,1.6580369747409673,0.09731000356911056,False,RISQUE_PLUS_ELEVE
age_42_plus,0.3852457327564141,1.4699754981938797,0.9518484810260773,2.270138586512222,0.22173629292596295,1.7374049492432275,0.0823157182782472,False,RISQUE_PLUS_ELEVE
