variable,label,reference,hazard_ratio,hr_ci_lower,hr_ci_upper,p,significant_005,direction
gender_male,Homme,,0.7065624133592157,0.5365752981876262,0.9304014658487529,0.013371172231942808,True,RISQUE_PLUS_FAIBLE
physical_score,Profil physique,,0.7772711216118781,0.5157182300319414,1.1714738035426215,0.22865641226169414,False,RISQUE_PLUS_FAIBLE
age_18_25,18–25 ans,26–33 ans,1.6853753383144776,1.1445190052913703,2.481819889286601,0.008203270011844814,True,RISQUE_PLUS_ELEVE
age_34_41,34–41 ans,26–33 ans,1.3424771011753076,0.9477816006601602,1.9015401500986475,0.09731000356911056,False,RISQUE_PLUS_ELEVE
age_42_plus,42 ans et plus,26–33 ans,1.4699754981938797,0.9518484810260773,2.270138586512222,0.0823157182782472,False,RISQUE_PLUS_ELEVE
