season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,same_day_exit_group,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,had_temporary_elimination,returned_to_game,first_exit_order,first_exit_type,first_exit_model_category,first_exit_description,final_exit_type,final_exit_model_category,final_exit_description,model_exit_order,model_exit_type,model_exit_category,physical_score,physical_score_justification,physical_score_sources,source_row_number,scraped_at
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Julien Castro,,29,,8th Voted Out 3rd jury member Day 23,11,0.5,Day 23,,8th Voted Out 3rd jury member Day 23,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,11,CONSEIL,DECISION_AVENTURIERS,8th Voted Out 3rd jury member Day 23,CONSEIL,DECISION_AVENTURIERS,8th Voted Out 3rd jury member Day 23,11,CONSEIL,DECISION_AVENTURIERS,,,,11,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Laureen Hugel,,26,,9th Voted Out 4th jury member Day 26,12,0.55,Day 26,Day 26,9th Voted Out 4th jury member Day 26,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,12,CONSEIL,DECISION_AVENTURIERS,9th Voted Out 4th jury member Day 26,CONSEIL,DECISION_AVENTURIERS,9th Voted Out 4th jury member Day 26,12,CONSEIL,DECISION_AVENTURIERS,,,,12,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Steve Best,,33,,10th Voted Out 5th jury member Day 26,13,0.6,Day 26,Day 26,10th Voted Out 5th jury member Day 26,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,13,CONSEIL,DECISION_AVENTURIERS,10th Voted Out 5th jury member Day 26,CONSEIL,DECISION_AVENTURIERS,10th Voted Out 5th jury member Day 26,13,CONSEIL,DECISION_AVENTURIERS,,,,13,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Carine Cazals,,34,,11th Voted Out 6th jury member Day 29,14,0.65,Day 29,,11th Voted Out 6th jury member Day 29,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,14,CONSEIL,DECISION_AVENTURIERS,11th Voted Out 6th jury member Day 29,CONSEIL,DECISION_AVENTURIERS,11th Voted Out 6th jury member Day 29,14,CONSEIL,DECISION_AVENTURIERS,,,,14,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Karima Neggaz,,26,,12th Voted Out 7th jury member Day 32,15,0.7,Day 32,,12th Voted Out 7th jury member Day 32,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,15,CONSEIL,DECISION_AVENTURIERS,12th Voted Out 7th jury member Day 32,CONSEIL,DECISION_AVENTURIERS,12th Voted Out 7th jury member Day 32,15,CONSEIL,DECISION_AVENTURIERS,,,,15,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Nicolas Rouyé,,32,,13th Voted Out 8th jury member Day 34,16,0.75,Day 34,,13th Voted Out 8th jury member Day 34,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,16,CONSEIL,DECISION_AVENTURIERS,13th Voted Out 8th jury member Day 34,CONSEIL,DECISION_AVENTURIERS,13th Voted Out 8th jury member Day 34,16,CONSEIL,DECISION_AVENTURIERS,,,,16,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Alain Chrisostome,,56,,14th Voted Out 9th jury member Day 37,17,0.8,Day 37,,14th Voted Out 9th jury member Day 37,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,17,CONSEIL,DECISION_AVENTURIERS,14th Voted Out 9th jury member Day 37,CONSEIL,DECISION_AVENTURIERS,14th Voted Out 9th jury member Day 37,17,CONSEIL,DECISION_AVENTURIERS,,,,17,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Cécilia Siharaj,,28,,Lost Challenge 10th jury member Day 38,18,0.85,Day 38,,Lost Challenge 10th jury member Day 38,EPREUVE_ELIMINATOIRE,EPREUVE,EPREUVE,Lost Challenge explicitement indiqué dans la source,False,True,False,False,18,EPREUVE_ELIMINATOIRE,EPREUVE,Lost Challenge 10th jury member Day 38,EPREUVE_ELIMINATOIRE,EPREUVE,Lost Challenge 10th jury member Day 38,18,EPREUVE_ELIMINATOIRE,EPREUVE,,,,18,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Gabriel Gubbels,,40,,15th Voted Out 11th jury member Day 39,19,0.9,Day 39,,15th Voted Out 11th jury member Day 39,CONSEIL,DECISION_AVENTURIERS,DECISION_AVENTURIERS,Voted Out explicitement indiqué dans la source,False,True,False,False,19,CONSEIL,DECISION_AVENTURIERS,15th Voted Out 11th jury member Day 39,CONSEIL,DECISION_AVENTURIERS,15th Voted Out 11th jury member Day 39,19,CONSEIL,DECISION_AVENTURIERS,,,,19,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Pascal Salviani,,48,,Runner-up Day 40,20,0.95,Day 40,Day 40,Runner-up Day 40,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,Runner-up explicitement indiqué dans la source,False,True,False,False,20,FINALISTE,AUTRE_SORTIE,Runner-up Day 40,FINALISTE,AUTRE_SORTIE,Runner-up Day 40,20,FINALISTE,AUTRE_SORTIE,,,,20,2026-07-19T16:27:48.672159+00:00
Koh-Lanta : Thaïlande,2016,https://en.wikipedia.org/wiki/Koh-Lanta:_Tha%C3%AFlande,Wendy Gervois,,26,,Sole Survivor Day 40,21,1.0,Day 40,Day 40,Sole Survivor Day 40,VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,Sole Survivor explicitement indiqué dans la source,False,True,False,False,21,VAINQUEUR,AUTRE_SORTIE,Sole Survivor Day 40,VAINQUEUR,AUTRE_SORTIE,Sole Survivor Day 40,21,VAINQUEUR,AUTRE_SORTIE,,,,21,2026-07-19T16:27:48.672159+00:00
