covariate,coef,exp(coef),se(coef),z,p,exp(coef) lower 95%,exp(coef) upper 95%
gender_male,-0.15017462417895175,0.8605576891236376,0.15401447151644107,-0.9750682692367684,0.32952639698959196,0.6363303441488372,1.1637972998135053
physical_score,-0.22494749465693303,0.798558146228086,0.2870089313607076,-0.7837647894456048,0.4331781379436097,0.45499235454723663,1.401551271211597
male_x_physical,0.09103394749091785,1.0953061875241927,0.3796197608430694,0.23980297360903263,0.8104830016202816,0.5204782848525326,2.304986930950813
