candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,15.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::irya,KL08,KL KL08,Irya,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::morgane,KL08,KL KL08,Morgane,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::jessica,KL08,KL KL08,Jessica,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::alain,KL08,KL KL08,Alain,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::jean-bernard,KL08,KL KL08,Jean-Bernard,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::christopher,KL08,KL KL08,Christopher,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::christophe,KL08,KL KL08,Christophe,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::charlène,KL08,KL KL08,Charlène,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::hakim,KL08,KL KL08,Hakim,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL08::régis,KL08,KL KL08,Régis,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
