candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,allowed_departure_causes,classification_rule
KL02::céline genty,KL02,KL KL02,Céline Genty,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::nelly,KL02,KL KL02,Nelly,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::pierre,KL02,KL KL02,Pierre,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::jacky,KL02,KL KL02,Jacky,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::adonis,KL02,KL KL02,Adonis,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::jimmy,KL02,KL KL02,Jimmy,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::béatrice,KL02,KL KL02,Béatrice,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::françois-xavier,KL02,KL KL02,François-Xavier,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::isabelle,KL02,KL KL02,Isabelle,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::maud,KL02,KL KL02,Maud,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
