mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Âge,18–25 ans,23,4,0.17391304347826086,0.06978540350612772,0.37138054785295666
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Âge,26–33 ans,53,3,0.05660377358490566,0.019436308927314183,0.15370448936126319
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Âge,34–41 ans,40,1,0.025,0.0044267174077949195,0.1288165948800778
AMBASSADEURS,Ambassadeurs,RISK_SET_APPROXIMATE,Âge,42 ans et plus,23,3,0.13043478260869565,0.04537576514344702,0.32127897973018194
