mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Profil physique,Profil non physique,55,14,0.2545454545454545,0.1581197275732498,0.3830212339233784
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Profil physique,Profil physique,17,7,0.4117647058823529,0.21610786039131383,0.6399492561448447
