mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Sexe,Femme,22,4,0.18181818181818182,0.07306766024105121,0.38517021976637866
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Sexe,Homme,29,12,0.41379310344827586,0.2551293527964552,0.5926247152148476
