mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Sexe,Femme,106,6,0.05660377358490566,0.026197262538493492,0.11802496292071321
VOLUNTARY,Abandon volontaire,RISK_SET_ROBUST,Sexe,Homme,113,7,0.061946902654867256,0.030327788623800853,0.12237125007474488
