mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Âge,18–25 ans,8,2,0.25,0.07147768885802763,0.5907301208974108
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Âge,26–33 ans,19,4,0.21052631578947367,0.08507538491591576,0.43334714240266087
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Âge,34–41 ans,15,7,0.4666666666666667,0.24809225259746442,0.6988336984894921
FINALE_POTEAUX,Poteaux,EXACT_STAGE_CONDITIONAL,Âge,42 ans et plus,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102
