mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Âge,18–25 ans,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Âge,26–33 ans,26,7,0.2692307692307692,0.13704275525067386,0.46083403419761304
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Âge,34–41 ans,19,4,0.21052631578947367,0.08507538491591576,0.43334714240266087
FINALE_ORIENTATION,Orientation,EXACT_STAGE_CONDITIONAL,Âge,42 ans et plus,16,7,0.4375,0.2309836333518552,0.6682180439322347
