mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Profil physique,Profil non physique,30,17,0.5666666666666667,0.3919700954540873,0.7262276256938489
JURY_FINAL_WIN,Victoire au jury final,EXACT_STAGE_CONDITIONAL,Profil physique,Profil physique,5,3,0.6,0.23071993220883708,0.8823817688407467
