mechanism,mechanism_label,analysis_type,variable,option,exposed,events,conditional_probability,ci95_lower,ci95_upper
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Âge,18–25 ans,26,3,0.11538461538461539,0.04003171821149494,0.28976293086898336
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Âge,26–33 ans,61,6,0.09836065573770492,0.045863951367309724,0.1984483419752358
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Âge,34–41 ans,47,5,0.10638297872340426,0.046304099555199416,0.22594539692012788
ELIMINATION_CHALLENGE,Épreuve éliminatoire / mort subite,RISK_SET_APPROXIMATE,Âge,42 ans et plus,23,2,0.08695652173913043,0.02417949540723341,0.2679640429809402
