variable,option,n,winners,victory_probability,final_phase_reached,final_phase_probability
Sexe,Femme,171,11,0.06432748538011696,32,0.1871345029239766
Sexe,Homme,169,9,0.05325443786982249,40,0.23668639053254437
Profil physique,Profil non physique,272,13,0.04779411764705882,51,0.1875
Profil physique,Profil physique,68,7,0.10294117647058823,21,0.3088235294117647
Âge,18–25 ans,80,2,0.025,11,0.1375
Âge,26–33 ans,102,9,0.08823529411764706,26,0.2549019607843137
Âge,34–41 ans,92,7,0.07608695652173914,19,0.20652173913043478
Âge,42 ans et plus,66,2,0.030303030303030304,16,0.24242424242424243
