variable,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,z,p,significant_005
gender_male,-0.3252080116509984,0.7223770751647286,0.13940668061799716,-0.5984400848665508,-0.051975938435445956,0.5496684037392569,0.9493517094555156,-2.3328007682941316,0.019658604339405396,True
physical_score,-0.27853759938876677,0.7568898086207185,0.2187266873631228,-0.7072340290782396,0.1501588303007061,0.4930059534355216,1.1620187918660358,-1.2734504542938916,0.2028582432964776,False
age_18-24,0.5009664022385497,1.6503153687727852,0.19715563295891028,0.11454846228988752,0.8873843421872118,1.1213669837590037,2.428768508305733,2.5409692572312017,0.011054563914743921,True
age_35-44,0.16927961314156229,1.1844512807696495,0.17460296702284164,-0.17293591381704207,0.5114951401001666,0.8411915218710303,1.66778290085044,0.9695116642514846,0.3322899633216892,False
age_45-54,0.35834808253170114,1.4309636272432853,0.2788244272130943,-0.18813775281597345,0.9048339178793757,0.8285005710848706,2.471521413451748,1.285210503661611,0.19871873414088784,False
age_55+,0.29755915700843366,1.3465680319330513,0.38196971311871053,-0.45108772388933555,1.0462060379062028,0.6369349653147394,2.8468298387858826,0.7790124368210227,0.4359723886395238,False
