variable,hazard_ratio,hr_ci_lower,hr_ci_upper,p,significant_005,direction
gender_male,0.7223770751647286,0.5496684037392569,0.9493517094555156,0.019658604339405396,True,RISQUE_PLUS_FAIBLE
physical_score,0.7568898086207185,0.4930059534355216,1.1620187918660358,0.2028582432964776,False,RISQUE_PLUS_FAIBLE
age_18-24,1.6503153687727852,1.1213669837590037,2.428768508305733,0.011054563914743921,True,RISQUE_PLUS_ELEVE
age_35-44,1.1844512807696495,0.8411915218710303,1.66778290085044,0.3322899633216892,False,RISQUE_PLUS_ELEVE
age_45-54,1.4309636272432853,0.8285005710848706,2.471521413451748,0.19871873414088784,False,RISQUE_PLUS_ELEVE
age_55+,1.3465680319330513,0.6369349653147394,2.8468298387858826,0.4359723886395238,False,RISQUE_PLUS_ELEVE
