batch_id,batch_number,season_id,season_name,season_year,candidate_season_key,candidate_name,research_task_type,research_priority_score,external_research_priority,fields_to_complete,external_research_request,search_query_1,search_query_2,search_query_3,research_status,review_status
EXT_BATCH_009,9,KL31,Koh-Lanta : L'Île au trésor,,KL31::candice boisson,Candice Boisson,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Candice Boisson (Koh-Lanta : L'Île au trésor, 2016)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Candice Boisson (Koh-Lanta : L'Île au trésor, 2016)","""Candice Boisson"" ""Koh-Lanta"" Koh-Lanta : L'Île au trésor","""Candice Boisson"" Koh-Lanta  portrait métier sport","""Candice Boisson"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL31,Koh-Lanta : L'Île au trésor,,KL31::bruno troester,Bruno Troester,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Bruno Troester (Koh-Lanta : L'Île au trésor, 2016)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Bruno Troester (Koh-Lanta : L'Île au trésor, 2016)","""Bruno Troester"" ""Koh-Lanta"" Koh-Lanta : L'Île au trésor","""Bruno Troester"" Koh-Lanta  portrait métier sport","""Bruno Troester"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL31,Koh-Lanta : L'Île au trésor,,KL31::freddy bolzer,Freddy Bolzer,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Freddy Bolzer (Koh-Lanta : L'Île au trésor, 2016)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Freddy Bolzer (Koh-Lanta : L'Île au trésor, 2016)","""Freddy Bolzer"" ""Koh-Lanta"" Koh-Lanta : L'Île au trésor","""Freddy Bolzer"" Koh-Lanta  portrait métier sport","""Freddy Bolzer"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL31,Koh-Lanta : L'Île au trésor,,KL31::jesta hillmann,Jesta Hillmann,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jesta Hillmann (Koh-Lanta : L'Île au trésor, 2016)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jesta Hillmann (Koh-Lanta : L'Île au trésor, 2016)","""Jesta Hillmann"" ""Koh-Lanta"" Koh-Lanta : L'Île au trésor","""Jesta Hillmann"" Koh-Lanta  portrait métier sport","""Jesta Hillmann"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL31,Koh-Lanta : L'Île au trésor,,KL31::benoît assadi,Benoît Assadi,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benoît Assadi (Koh-Lanta : L'Île au trésor, 2016)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benoît Assadi (Koh-Lanta : L'Île au trésor, 2016)","""Benoît Assadi"" ""Koh-Lanta"" Koh-Lanta : L'Île au trésor","""Benoît Assadi"" Koh-Lanta  portrait métier sport","""Benoît Assadi"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL32,Koh-Lanta : Les 4 Terres,,KL32::françois,François,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour François (Koh-Lanta : Les 4 Terres, 2020)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour François (Koh-Lanta : Les 4 Terres, 2020)","""François"" ""Koh-Lanta"" Koh-Lanta : Les 4 Terres","""François"" Koh-Lanta  portrait métier sport","""François"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL32,Koh-Lanta : Les 4 Terres,,KL32::carole,Carole,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Carole (Koh-Lanta : Les 4 Terres, 2020)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Carole (Koh-Lanta : Les 4 Terres, 2020)","""Carole"" ""Koh-Lanta"" Koh-Lanta : Les 4 Terres","""Carole"" Koh-Lanta  portrait métier sport","""Carole"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL32,Koh-Lanta : Les 4 Terres,,KL32::samuel,Samuel,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Samuel (Koh-Lanta : Les 4 Terres, 2020)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Samuel (Koh-Lanta : Les 4 Terres, 2020)","""Samuel"" ""Koh-Lanta"" Koh-Lanta : Les 4 Terres","""Samuel"" Koh-Lanta  portrait métier sport","""Samuel"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL32,Koh-Lanta : Les 4 Terres,,KL32::diane,Diane,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Diane (Koh-Lanta : Les 4 Terres, 2020)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Diane (Koh-Lanta : Les 4 Terres, 2020)","""Diane"" ""Koh-Lanta"" Koh-Lanta : Les 4 Terres","""Diane"" Koh-Lanta  portrait métier sport","""Diane"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_009,9,KL32,Koh-Lanta : Les 4 Terres,,KL32::estelle,Estelle,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Estelle (Koh-Lanta : Les 4 Terres, 2020)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Estelle (Koh-Lanta : Les 4 Terres, 2020)","""Estelle"" ""Koh-Lanta"" Koh-Lanta : Les 4 Terres","""Estelle"" Koh-Lanta  portrait métier sport","""Estelle"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
