"candidate_season_key","season_id","season_name","candidate_name","age_found","age_value","age_source_url","age_source_excerpt","age_source_quality","age_confidence","gender_found","gender_normalized","gender_source_url","gender_source_excerpt","gender_source_quality","gender_confidence","profession_found","profession_raw","profession_normalized","profession_source_url","profession_source_excerpt","profession_source_quality","profession_confidence","sport_evidence_found","explicit_sport_activity","sport_name","sport_frequency","sport_intensity","competition_level","years_of_practice","muscularity_evidence_found","documented_muscular_build","muscularity_evidence_text","physical_source_url_1","physical_source_excerpt_1","physical_source_quality_1","physical_source_url_2","physical_source_excerpt_2","physical_source_quality_2","proposed_physical_score","physical_positive_reason","physical_zero_reason","physical_score_justification","physical_score_confidence","research_status","researcher_notes","manual_reviewer_decision"
"KL15::sara [ n 1 ]","KL15","Koh-Lanta : Malaisie","Sara [ N 1 ]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::nadine","KL15","Koh-Lanta : Malaisie","Nadine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::élodie","KL15","Koh-Lanta : Malaisie","Élodie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::marie [ n 2 ]","KL15","Koh-Lanta : Malaisie","Marie [ N 2 ]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::anthony","KL15","Koh-Lanta : Malaisie","Anthony","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::javier [ n 3 ]","KL15","Koh-Lanta : Malaisie","Javier [ N 3 ]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::namadia [ n 4 ]","KL15","Koh-Lanta : Malaisie","Namadia [ N 4 ]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::marylou","KL15","Koh-Lanta : Malaisie","Marylou","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::catherine","KL15","Koh-Lanta : Malaisie","Catherine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::camille","KL15","Koh-Lanta : Malaisie","Camille","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::charles","KL15","Koh-Lanta : Malaisie","Charles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::thierry","KL15","Koh-Lanta : Malaisie","Thierry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::myriam","KL15","Koh-Lanta : Malaisie","Myriam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::bernard","KL15","Koh-Lanta : Malaisie","Bernard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::philippe [ n 5 ]","KL15","Koh-Lanta : Malaisie","Philippe [ N 5 ]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::vanessa","KL15","Koh-Lanta : Malaisie","Vanessa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::brice [ n 6 ]","KL15","Koh-Lanta : Malaisie","Brice [ N 6 ]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::ugo [ n 7 ]","KL15","Koh-Lanta : Malaisie","Ugo [ N 7 ]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL17::babeth delettre","KL17","Koh-Lanta : Johor","Babeth Delettre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL17::marie-anne queniart","KL17","Koh-Lanta : Johor","Marie-Anne Queniart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
