"candidate_season_key","season_id","season_name","candidate_name","age_found","age_value","age_source_url","age_source_excerpt","age_source_quality","age_confidence","gender_found","gender_normalized","gender_source_url","gender_source_excerpt","gender_source_quality","gender_confidence","profession_found","profession_raw","profession_normalized","profession_source_url","profession_source_excerpt","profession_source_quality","profession_confidence","sport_evidence_found","explicit_sport_activity","sport_name","sport_frequency","sport_intensity","competition_level","years_of_practice","muscularity_evidence_found","documented_muscular_build","muscularity_evidence_text","physical_source_url_1","physical_source_excerpt_1","physical_source_quality_1","physical_source_url_2","physical_source_excerpt_2","physical_source_quality_2","proposed_physical_score","physical_positive_reason","physical_zero_reason","physical_score_justification","physical_score_confidence","research_status","researcher_notes","manual_reviewer_decision"
"KL13::steve lemercier","KL13","Koh-Lanta : Raja Ampat","Steve Lemercier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::gérard ""gégé"" icardi","KL13","Koh-Lanta : Raja Ampat","Gérard ""Gégé"" Icardi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::nawal ""naouel"" hadjaf","KL13","Koh-Lanta : Raja Ampat","Nawal ""Naouel"" Hadjaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::benoît mahieux","KL13","Koh-Lanta : Raja Ampat","Benoît Mahieux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::délisia fettache","KL13","Koh-Lanta : Raja Ampat","Délisia Fettache","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::caroline matteucci","KL13","Koh-Lanta : Raja Ampat","Caroline Matteucci","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::maxime boulet","KL13","Koh-Lanta : Raja Ampat","Maxime Boulet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::anthony amar","KL13","Koh-Lanta : Raja Ampat","Anthony Amar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::olivier moenaert","KL13","Koh-Lanta : Raja Ampat","Olivier Moenaert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::florence delbarre reuter","KL13","Koh-Lanta : Raja Ampat","Florence Delbarre Reuter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::virginie jarry","KL13","Koh-Lanta : Raja Ampat","Virginie Jarry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::patricia morel","KL13","Koh-Lanta : Raja Ampat","Patricia Morel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::alexandra pouillon","KL13","Koh-Lanta : Raja Ampat","Alexandra Pouillon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::martin bazin","KL13","Koh-Lanta : Raja Ampat","Martin Bazin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::ella gbezan","KL13","Koh-Lanta : Raja Ampat","Ella Gbezan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::laurent maistret","KL13","Koh-Lanta : Raja Ampat","Laurent Maistret","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::teheiura teahui","KL13","Koh-Lanta : Raja Ampat","Teheiura Teahui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL13::gérard urdampilleta","KL13","Koh-Lanta : Raja Ampat","Gérard Urdampilleta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::mélanie","KL15","Koh-Lanta : Malaisie","Mélanie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
"KL15::mickaël","KL15","Koh-Lanta : Malaisie","Mickaël","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT_STARTED","",""
