candidate_season_key,season_id,season_name,candidate_name,age_found,age_value,age_source_url,age_source_excerpt,age_source_quality,age_confidence,gender_found,gender_normalized,gender_source_url,gender_source_excerpt,gender_source_quality,gender_confidence,profession_found,profession_raw,profession_normalized,profession_source_url,profession_source_excerpt,profession_source_quality,profession_confidence,sport_evidence_found,explicit_sport_activity,sport_name,sport_frequency,sport_intensity,competition_level,years_of_practice,muscularity_evidence_found,documented_muscular_build,muscularity_evidence_text,physical_source_url_1,physical_source_excerpt_1,physical_source_quality_1,physical_source_url_2,physical_source_excerpt_2,physical_source_quality_2,proposed_physical_score,physical_positive_reason,physical_zero_reason,physical_score_justification,physical_score_confidence,research_status,researcher_notes,manual_reviewer_decision
KL03::alexandra denikine,KL03,Koh-Lanta : Bocas del Toro,Alexandra Denikine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::candice cohen,KL03,Koh-Lanta : Bocas del Toro,Candice Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::sébastien loew,KL03,Koh-Lanta : Bocas del Toro,Sébastien Loew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL08::valérie,KL08,KL KL08,Valérie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL08::christophe,KL08,KL KL08,Christophe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL17::bruno peisey,KL17,Koh-Lanta : Johor,Bruno Peisey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL31::jean-luc duboscq,KL31,Koh-Lanta : L'Île au trésor,Jean-Luc Duboscq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL31::yannick delalleau,KL31,Koh-Lanta : L'Île au trésor,Yannick Delalleau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL22::clo,KL22,Koh-Lanta : La Guerre des Chefs,Clo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::sébastien,KL32,Koh-Lanta : Les 4 Terres,Sébastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::loïc,KL32,Koh-Lanta : Les 4 Terres,Loïc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL27::amri madani,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Amri Madani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL15::bernard,KL15,Koh-Lanta : Malaisie,Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL15::philippe [ n 5 ],KL15,Koh-Lanta : Malaisie,Philippe [ N 5 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL15::ugo [ n 7 ],KL15,Koh-Lanta : Malaisie,Ugo [ N 7 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL02::xavier,KL02,KL KL02,Xavier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL07::ali,KL07,KL KL07,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
