covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
physical_score,-0.9039782347509917,0.40495544318664484,0.40165417715180624,-1.6912059562086026,-0.11675051329338082,0.1842971356496754,0.8898071605313134,0.0,-2.2506382011541506,0.024408461821112722,5.356474807927835
physical_x_middle,0.6697526609242282,1.953754021155102,0.5046533245712013,-0.31934967991372853,1.658855001762185,0.7266214199615186,5.2532923890158445,0.0,1.32715396553329,0.18445775681011578,2.438637636425581
physical_x_late,1.1674962062712102,3.213935524450954,0.5259719791796295,0.13661007020188531,2.198382342340535,1.1463810532255274,9.010425919256475,0.0,2.219692783049357,0.026439629082896998,5.241154252112881
gender_male,-0.3081228679718062,0.7348250260016072,0.15901492942937717,-0.6197864026575638,0.003540666713951368,0.5380593533693382,1.0035469422787162,0.0,-1.9376977311344337,0.0526601109169577,4.24714562966731
age_18_25,0.5445465025492469,1.7238264541861017,0.20533159758606126,0.14210396639249528,0.9469890387059985,1.1526964840025502,2.5779358967362427,0.0,2.6520346062227924,0.008000834111648047,6.965633871411018
age_34_41,0.2945295587446957,1.3424946452397482,0.19831076170187323,-0.09415239193768088,0.6832115094270723,0.9101440530561408,1.9802270491638598,0.0,1.4851920098389377,0.1374929680007928,2.8625702601759575
