phase,coefficient,standard_error,hazard_ratio,ci_lower,ci_upper,p_value
Début — rangs 1 à 6,-0.9039782347509917,0.40165417715180624,0.40495544318664484,0.18429446967083812,0.8898200323611811,0.02440846182111267
Milieu — rangs 7 à 12,-0.23422557382676346,0.31856473493797854,0.7911833255145538,0.4237496465851367,1.4772190599255235,0.4621856236549071
Fin — rang 13 et plus,0.2635179715202185,0.3536586842712413,1.3015006846773378,0.6507348282373852,2.6030634272392907,0.45619949965873374
