candidate_season_key,season_id,season_name,season_year,candidate_name,age,gender,physical_score,survival_time,event,censored,final_position_raw,departure_type_normalized,departure_category,departure_model_category,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,final_departure_cause,_key,_normalized_name
KL29::jérôme#row20,KL29,Koh-Lanta : La Revanche des 4 Terres,2025,Jérôme,52.0,MALE,0.0,20.0,1,False,"Éliminé [ 63 ] , [ 64 ] , [ 65 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,False,20,20,MANUAL_STRICT_VALIDATED,1,1,1,1,FINALE_ORIENTATION,kl29::jérôme#row20,jerome
KL29::jérôme#row22,KL29,Koh-Lanta : La Revanche des 4 Terres,2025,Jérôme,43.0,MALE,0.0,22.0,1,False,"Éliminé [ 69 ] , [ 70 ] , [ 71 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,False,22,22,MEDIUM,1,1,1,1,FINALE_POTEAUX,kl29::jérôme#row22,jerome
