season_id,season_name,candidate_season_key,candidate_name,survival_time,final_position_raw
KL15,Koh-Lanta : Malaisie,KL15::anthony,Anthony,7.0,Éliminé
KL22,Koh-Lanta : La Guerre des Chefs,KL22::frédéric,Frédéric,7.0,"Éliminé [ 17 ] , [ 18 ] [source secondaire souhaitée]"
KL26,Koh-Lanta : Le Feu Sacré,KL26::quentin,Quentin,16.0,Éliminé [ 26 ]
KL27,Koh-Lanta : Les Chasseurs d'Immunité,KL27::ricky poyet,Ricky Poyet,9.0,Eliminated Day 22
KL29,Koh-Lanta : La Revanche des 4 Terres,KL29::maxime,Maxime,17.0,"Éliminé [ 54 ] , [ 55 ] , [ 56 ]"
KL33,Koh-Lanta : Les Armes secrètes,KL33::frédéric,Frédéric,7.0,"Éliminé [ 46 ] , [ 47 ] , [ 48 ] , [ 49 ] , [ 50 ]"
