cause,model,n_events,covariates,variable,hazard_ratio,hr_ci_lower,hr_ci_upper,p,significant_005,concordance,status,candidates_group0,events_group0,candidates_group1,events_group1,finite_estimate,minimum_3_events_each_group,minimum_5_events_each_group,ci_width_ratio,very_wide_ci,p_fdr_bh,significant_fdr_005,interpretation_level
MEDICAL,MEDICAL_M1,23,gender_male + physical_score,gender_male,1.5620144339400912,0.7606122691017935,3.207796128135623,0.2244859294285653,False,0.5801186943620178,SUCCESS,171,8,169,15,True,True,True,4.217386779631767,False,0.5131106958367206,False,NON_SIGNIFICATIF
MEDICAL,MEDICAL_M3,23,gender_male + age_55_plus,gender_male,1.523246605781282,0.759288483974243,3.055861205584816,0.2361189210114469,False,0.5652818991097923,SUCCESS,171,8,169,15,True,True,True,4.02463789466413,False,0.515168554934066,False,NON_SIGNIFICATIF
AMBASSADEURS,AMBASSADEURS_M2,11,physical_score,physical_score,0.4812663027195313,0.1366559549955939,1.6948932385770918,0.2548885956242508,False,0.5669291338582677,SUCCESS,281,10,59,1,True,False,False,12.402629937581125,True,0.5319414169549582,False,TRES_INSTABLE_GROUPE_RARE
AMBASSADEURS,AMBASSADEURS_M4,11,age_35_44,age_35_44,0.6284809194934472,0.224595238612502,1.758667140975365,0.3763483118477471,False,0.547244094488189,SUCCESS,246,9,94,2,True,False,False,7.830384792838923,False,0.7458851288370256,False,TRES_INSTABLE_GROUPE_RARE
FINALE_ORIENTATION,FINALE_ORIENTATION_M2,21,gender_male + age_18_24,age_18_24,0.6475213345062264,0.2302154505689594,1.8212673285155152,0.4101158927351209,False,0.5142857142857142,SUCCESS,278,19,62,2,True,False,False,7.911142905545201,False,0.7458851288370256,False,TRES_INSTABLE_GROUPE_RARE
MEDICAL,MEDICAL_M2,23,gender_male + age_45_54,age_45_54,1.5217439196886415,0.5356173989996075,4.323430421480853,0.4306512480726373,False,0.5771513353115727,SUCCESS,304,20,36,3,True,True,False,8.071863291886867,False,0.7458851288370256,False,NON_SIGNIFICATIF
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M6,16,age_55_plus,age_55_plus,2.5973847279219826,0.2329978404263292,28.954806673306805,0.4378273072923467,False,0.5567375886524822,SUCCESS,325,15,15,1,True,False,False,124.27070834788242,True,0.7458851288370256,False,TRES_INSTABLE_GROUPE_RARE
MEDICAL,MEDICAL_M4,23,physical_score + age_45_54,age_45_54,1.4720258764161227,0.5399971000828709,4.01272558779689,0.4498528726815948,False,0.5222551928783383,SUCCESS,304,20,36,3,True,True,False,7.431013216887785,False,0.7458851288370256,False,NON_SIGNIFICATIF
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M2,16,physical_score,physical_score,0.6839944801844995,0.2549669079680337,1.834937924499284,0.450638932005703,False,0.5390070921985816,SUCCESS,281,14,59,2,True,False,False,7.196768941988888,False,0.7458851288370256,False,TRES_INSTABLE_GROUPE_RARE
MEDICAL,MEDICAL_M1,23,gender_male + physical_score,physical_score,0.7163930747459263,0.2573797224461556,1.994015039981593,0.5230960968423612,False,0.5801186943620178,SUCCESS,281,20,59,3,True,True,False,7.747366502031819,False,0.836953754947778,False,NON_SIGNIFICATIF
MEDICAL,MEDICAL_M5,23,physical_score + age_55_plus,physical_score,0.7481346775220147,0.2704597599723136,2.069459411515653,0.5761837025565162,False,0.5237388724035609,SUCCESS,281,20,59,3,True,True,False,7.6516351701543295,False,0.8658138160785874,False,NON_SIGNIFICATIF
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M1,16,gender_male,gender_male,0.8126134874754762,0.3801443045037653,1.737078978176603,0.5924223741856904,False,0.5602836879432624,SUCCESS,171,9,169,7,True,True,True,4.5695251976592415,False,0.8658138160785874,False,NON_SIGNIFICATIF
MEDICAL,MEDICAL_M4,23,physical_score + age_45_54,physical_score,0.7666621773642198,0.2845128969622251,2.065884887738094,0.5993275364388069,False,0.5222551928783383,SUCCESS,281,20,59,3,True,True,False,7.261129143162823,False,0.8658138160785874,False,NON_SIGNIFICATIF
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M5,16,age_45_54,age_45_54,0.7077627472306903,0.185239742392585,2.7042150884981235,0.6132847863889994,False,0.5212765957446809,SUCCESS,304,15,36,1,True,False,False,14.598460641167309,True,0.8658138160785874,False,TRES_INSTABLE_GROUPE_RARE
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M4,16,age_35_44,age_35_44,1.2594280285446895,0.4760887896231825,3.331645259573084,0.6421340996200539,False,0.5425531914893617,SUCCESS,246,11,94,5,True,True,True,6.997949399753844,False,0.8680942704845328,False,NON_SIGNIFICATIF
VOLUNTARY,VOLUNTARY_M2,13,physical_score,physical_score,0.7554316755368436,0.2088840541314441,2.7320276733296933,0.6689315713447737,False,0.5242718446601942,SUCCESS,281,11,59,2,True,False,False,13.079158601596824,True,0.8680942704845328,False,TRES_INSTABLE_GROUPE_RARE
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M2,15,physical_score,physical_score,0.821984981349681,0.3344742994698144,2.020063456700392,0.6691560001651607,False,0.53125,SUCCESS,281,13,59,2,True,False,False,6.039517714522334,False,0.8680942704845328,False,TRES_INSTABLE_GROUPE_RARE
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M1,15,gender_male,gender_male,1.097888076924301,0.5623883664961388,2.1432844298723865,0.7843772041715757,False,0.5,SUCCESS,171,7,169,8,True,True,True,3.8110397681689987,False,0.9833454888518738,False,NON_SIGNIFICATIF
MEDICAL,MEDICAL_M5,23,physical_score + age_55_plus,age_55_plus,1.263501526409006,0.2041406704876667,7.820274634271556,0.8014414043249074,False,0.5237388724035609,SUCCESS,325,22,15,1,True,False,False,38.30826368694631,True,0.9833454888518738,False,TRES_INSTABLE_GROUPE_RARE
FINALE_ORIENTATION,FINALE_ORIENTATION_M1,21,gender_male + physical_score,gender_male,0.9231555934814956,0.4646103364864264,1.8342602022610617,0.8194545740432282,False,0.5857142857142857,SUCCESS,171,10,169,11,True,True,True,3.9479539265796113,False,0.9833454888518738,False,NON_SIGNIFICATIF
VOLUNTARY,VOLUNTARY_M4,13,age_35_44,age_35_44,1.0555745320648922,0.4627654857538907,2.4077802408466416,0.8977136046640338,False,0.4757281553398058,SUCCESS,246,9,94,4,True,True,False,5.203024674418252,False,0.9847514851487155,False,NON_SIGNIFICATIF
MEDICAL,MEDICAL_M3,23,gender_male + age_55_plus,age_55_plus,1.1146623507822704,0.1965126972776925,6.322604968857138,0.902435252833705,False,0.5652818991097923,SUCCESS,325,22,15,1,True,False,False,32.17402771650247,True,0.9847514851487155,False,TRES_INSTABLE_GROUPE_RARE
VOLUNTARY,VOLUNTARY_M1,13,gender_male,gender_male,1.0509764699064266,0.4688861623219056,2.3556923386846798,0.9038991670457892,False,0.5145631067961165,SUCCESS,171,6,169,7,True,True,True,5.024017614466132,False,0.9847514851487155,False,NON_SIGNIFICATIF
VOLUNTARY,VOLUNTARY_M5,13,age_45_54,age_45_54,1.0934489279392106,0.1988753348504945,6.011959999515422,0.9181760655198672,False,0.5121359223300971,SUCCESS,304,12,36,1,True,False,False,30.229791965076725,True,0.9847514851487155,False,TRES_INSTABLE_GROUPE_RARE
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M3,16,age_18_24,age_18_24,0.9549706959578398,0.2881167737299703,3.1652757259905986,0.9399285492803215,False,0.5070921985815603,SUCCESS,278,14,62,2,True,False,False,10.986086249033068,True,0.9847514851487155,False,TRES_INSTABLE_GROUPE_RARE
FINALE_ORIENTATION,FINALE_ORIENTATION_M3,21,gender_male + age_35_44,gender_male,0.976687758009812,0.5073865729500958,1.880063500892161,0.943720173267519,False,0.5571428571428572,SUCCESS,171,10,169,11,True,True,True,3.705386782233741,False,0.9847514851487155,False,NON_SIGNIFICATIF
FINALE_ORIENTATION,FINALE_ORIENTATION_M2,21,gender_male + age_18_24,gender_male,1.012256379185207,0.513395152812695,1.995856352728324,0.971944848904523,False,0.5142857142857142,SUCCESS,171,10,169,11,True,True,True,3.8875636861660907,False,0.9926245265407894,False,NON_SIGNIFICATIF
FINALE_POTEAUX,FINALE_POTEAUX_M3,16,age_18_24,age_18_24,1.0,0.3181405237496808,3.143265083661016,1.0,False,0.5,SUCCESS,278,14,62,2,True,False,False,9.880115386162494,False,1.0,False,TRES_INSTABLE_GROUPE_RARE
FINALE_POTEAUX,FINALE_POTEAUX_M6,16,age_55_plus,age_55_plus,1.0,1.0,1.0,,False,0.5,SUCCESS,325,16,15,0,False,False,False,1.0,False,,False,NON_ESTIMABLE
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M6,15,age_55_plus,age_55_plus,1.0,1.0,1.0,,False,0.5,SUCCESS,325,15,15,0,False,False,False,1.0,False,,False,NON_ESTIMABLE
