controle,valeur
Candidats,340
Saisons,17
Profils physiques,75
Événements observés,320
Gagnants censurés,20
Conseils combinés,205
Orientation atteinte,72
Éliminations orientation,21
Poteaux atteints,51
Éliminations poteaux,16
Jury final atteint,35
Défaites au jury,15
Victoires au jury,20
